STATE,customer_count
Texas,97
California,97
Florida,86
"New York",69
"District of Columbia",35
Colorado,33
Ohio,33
Alabama,29
Washington,28
Arizona,26
Pennsylvania,25
Illinois,25
Virginia,24
Tennessee,23
Missouri,23
Connecticut,22
Indiana,21
"North Carolina",20
Louisiana,20
Georgia,18
Michigan,17
Minnesota,17
Nevada,17
Oklahoma,16
Massachusetts,14
Maryland,14
Kansas,13
Iowa,11
"West Virginia",10
Alaska,10
Utah,10
"New Jersey",9
"South Carolina",9
Wisconsin,8
Kentucky,8
Idaho,7
Nebraska,7
Oregon,7
Delaware,6
Arkansas,6
Hawaii,6
"New Mexico",5
Montana,3
"New Hampshire",3
Mississippi,2
"North Dakota",2
Vermont,1
Maine,1
Wyoming,1
